Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
%Apop:AU565:C+H,0.165005,0.151625,0.165792,0.2119,0.316443,0.450311,0.504219,0.561203,0.582893,0.591489,0.613684,0.633612,0.698745,0.761053,0.802105,0.842437,0.879915,0.891235,0.916667,0.934392,0.943915,0.958333,0.962884,0.971861,0.978655,0.982961
%Apop:AU565:CH+SH,0.160042,0.157084,0.123995,0.163031,0.297578,0.414334,0.464407,0.505669,0.516968,0.527211,0.519641,0.519016,0.522321,0.551802,0.606982,0.670022,0.724971,0.780543,0.839306,0.869416,0.895455,0.924312,0.947608,0.956769,0.962156,0.977143
%Apop:AU565:CH+MLN,0.170259,0.147541,0.107905,0.15444,0.285176,0.42409,0.496894,0.527812,0.546239,0.578431,0.621787,0.694205,0.736128,0.781327,0.815085,0.841328,0.864764,0.893958,0.916667,0.934649,0.960298,0.961491,0.966208,0.964956,0.972671,0.977667
%Apop:AU565:CH+Lap,0.181548,0.164329,0.181128,0.255866,0.451685,0.625828,0.699779,0.756044,0.772878,0.768649,0.793926,0.807151,0.815818,0.851852,0.867457,0.887568,0.907508,0.920966,0.933628,0.934758,0.951302,0.961231,0.963429,0.970488,0.974041,0.977195
%Apop:AU565:C+MLN+SH,0.161041,0.159925,0.099068,0.125882,0.184884,0.302433,0.388889,0.459743,0.496528,0.541231,0.556199,0.569143,0.569301,0.569124,0.586483,0.61894,0.654023,0.701734,0.756041,0.809028,0.851211,0.894676,0.920415,0.946821,0.965278,0.974537
%Apop:AU565:CH+PX,0.188188,0.186492,0.17214,0.195402,0.306897,0.457176,0.526498,0.564162,0.583815,0.59324,0.623392,0.655294,0.686833,0.742317,0.78271,0.820543,0.849941,0.88019,0.902844,0.92823,0.947368,0.954923,0.968937,0.969952,0.977108,0.979543
%Apop:AU565:Pax,0.200438,0.20585,0.134788,0.180203,0.224647,0.276705,0.287582,0.310968,0.315175,0.306789,0.308901,0.307692,0.310118,0.298547,0.300512,0.309987,0.299738,0.295364,0.293351,0.290743,0.308996,0.313953,0.318182,0.320153,0.338101,0.356499
%Apop:AU565:C+Pax,0.178241,0.191954,0.142487,0.174084,0.236671,0.328553,0.392388,0.452507,0.531579,0.573491,0.595801,0.611331,0.633113,0.65445,0.684896,0.712082,0.738796,0.803822,0.837179,0.868217,0.897829,0.924165,0.938776,0.95443,0.966538,0.969427
%Apop:AU565:H+Pax,0.169336,0.169374,0.152231,0.185333,0.277045,0.37037,0.444297,0.477004,0.514667,0.543046,0.567065,0.616531,0.6502,0.688591,0.735901,0.756098,0.795699,0.813261,0.84,0.875683,0.899449,0.917808,0.936141,0.935915,0.94452,0.964384
%Apop:AU565:CH+Pax,0.220472,0.203407,0.071053,0.110519,0.230971,0.378667,0.47569,0.530026,0.569554,0.584433,0.601563,0.630548,0.686934,0.736364,0.80599,0.839635,0.86606,0.89895,0.921671,0.93578,0.951123,0.960159,0.975,0.981795,0.982895,0.985545
