Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
%Apop:PL45:C+MLN+SH,0.086572,0.085277,0.092838,0.143555,0.217473,0.317204,0.435878,0.516458,0.570199,0.623689,0.667317,0.696203,0.723742,0.750198,0.781399,0.801103,0.822689,0.849402,0.861398,0.875147,0.88383,0.889107,0.892559,0.892759,0.891871,0.900742,0.980918
%Apop:PL45:CH+PX,0.085262,0.08767,0.090687,0.180387,0.313029,0.469212,0.621746,0.719476,0.792842,0.809585,0.821489,0.839814,0.843021,0.863331,0.870196,0.868846,0.886816,0.886477,0.888238,0.858838,0.861042,0.86472,0.865178,0.852235,0.85144,0.851651,0.952277
%Apop:AsPC1:Untreat,0.010923,0.009761,0.015369,0.025882,0.028619,0.031436,0.035099,0.037122,0.038787,0.03881,0.043575,0.038267,0.041746,0.041998,0.041706,0.04457,0.041074,0.046431,0.04081,0.040528,0.041143,0.036933,0.04,0.038474,0.040919,0.03885,0.025505
%Apop:AsPC1:HO,0.013973,0.014463,0.375635,0.898945,0.973329,0.989259,0.996027,0.996691,0.99742,0.997392,0.996281,0.996214,0.994348,0.995116,0.994998,0.996205,0.994626,0.996917,0.993015,0.99487,0.995345,0.992925,0.992916,0.992546,0.993966,0.993506,0.995471
%Apop:AsPC1:MLN+SH,0.017649,0.019367,0.024624,0.02496,0.029497,0.037299,0.048709,0.055992,0.067791,0.076311,0.094023,0.097376,0.107092,0.115549,0.111029,0.124954,0.121805,0.134368,0.12938,0.127259,0.135002,0.130742,0.129813,0.129173,0.134561,0.132153,0.198089
%Apop:AsPC1:HO+MLN+SH,0.009365,0.011345,0.302029,0.873925,0.978567,0.990847,0.996269,0.995523,0.996541,0.997193,0.996456,0.995011,0.99606,0.997131,0.997461,0.996774,0.997116,0.997452,0.99745,0.997811,0.997848,0.998166,0.998534,0.9967,0.997449,0.996333,0.997371
%Apop:AsPC1:Cry,0.011567,0.015273,0.067463,0.406727,0.478517,0.466152,0.454609,0.44629,0.465841,0.461813,0.473871,0.46875,0.471398,0.473397,0.44204,0.448723,0.441297,0.438753,0.436965,0.429802,0.455621,0.44838,0.445115,0.443478,0.447666,0.44406,0.908385
%Apop:AsPC1:C+H,0.015722,0.013904,0.146699,0.782105,0.898587,0.945675,0.973856,0.975592,0.989334,0.993635,0.993266,0.988654,0.985747,0.989341,0.980125,0.983815,0.984925,0.980702,0.979321,0.973047,0.984339,0.98033,0.977515,0.977935,0.979289,0.967923,0.984783
%Apop:AsPC1:CH+SH,0.013122,0.01472,0.140935,0.768308,0.903865,0.944554,0.97561,0.978773,0.987137,0.989687,0.993012,0.990863,0.991517,0.992886,0.992429,0.994526,0.995217,0.99522,0.99378,0.994817,0.993261,0.994488,0.994116,0.995525,0.995214,0.995466,0.997419
%Apop:AsPC1:CH+MLN,0.014534,0.016535,0.137466,0.796848,0.913209,0.952834,0.979159,0.982181,0.990018,0.989777,0.990899,0.988024,0.981146,0.988086,0.976318,0.977024,0.978908,0.976981,0.972727,0.966628,0.97772,0.973776,0.966616,0.967417,0.97219,0.960947,0.97581
%Apop:AsPC1:CH+Lap,0.013398,0.015815,0.179413,0.86691,0.938641,0.971079,0.986926,0.992048,0.995032,0.997701,0.998101,0.994656,0.991144,0.992305,0.988258,0.988641,0.99141,0.990596,0.989345,0.987307,0.993716,0.986795,0.98549,0.983454,0.984745,0.976763,0.988132
%Apop:AsPC1:C+MLN+SH,0.017432,0.019818,0.128061,0.566159,0.663849,0.724819,0.790368,0.836735,0.88488,0.900773,0.922322,0.92144,0.928719,0.946957,0.942053,0.949159,0.951009,0.949774,0.951139,0.945575,0.954321,0.944033,0.94331,0.944882,0.950786,0.952281,0.994245
%Apop:AsPC1:CH+PX,0.013132,0.015966,0.182931,0.83327,0.930631,0.963443,0.980945,0.98758,0.9912,0.989579,0.99317,0.993847,0.991009,0.98985,0.987311,0.990504,0.98972,0.988934,0.98642,0.984994,0.990658,0.986267,0.983221,0.982271,0.98665,0.981513,0.982963
%Apop:HPAF:Untreat,0.027993,0.025839,0.038246,0.04498,0.046549,0.049026,0.048371,0.044259,0.043629,0.03956,0.038095,0.035726,0.034091,0.032704,0.030486,0.028097,0.027375,0.03007,0.02907,0.027001,0.026623,0.027009,0.027778,0.026298,0.025931,0.027554,0.026782
%Apop:HPAF:HO,0.019579,0.019106,0.033213,0.053203,0.104499,0.170455,0.246143,0.328792,0.431301,0.545622,0.652464,0.738594,0.810578,0.869248,0.906851,0.923866,0.928197,0.934891,0.930889,0.92599,0.928989,0.93105,0.930374,0.922967,0.930755,0.931665,0.974933
%Apop:HPAF:MLN+SH,0.023783,0.027617,0.025405,0.035333,0.045072,0.046341,0.062483,0.072262,0.086859,0.096629,0.108038,0.112978,0.122539,0.125594,0.137349,0.139677,0.1531,0.166826,0.182597,0.198735,0.213895,0.235213,0.245712,0.269354,0.288483,0.319069,0.671386
%Apop:HPAF:HO+MLN+SH,0.02131,0.022913,0.056589,0.094898,0.169761,0.285831,0.419183,0.557994,0.652237,0.749186,0.812993,0.856652,0.884978,0.895112,0.912045,0.919259,0.918105,0.921025,0.925342,0.923457,0.920922,0.92071,0.918761,0.931315,0.930011,0.91568,0.970216
%Apop:HPAF:Cry,0.020429,0.022256,0.023297,0.028522,0.032948,0.033259,0.038718,0.04279,0.050012,0.065557,0.094354,0.135778,0.192403,0.272253,0.360758,0.453725,0.535795,0.607863,0.666074,0.706817,0.738303,0.754997,0.764645,0.768876,0.768715,0.768695,0.965281
%Apop:HPAF:C+H,0.025626,0.030039,0.046551,0.056354,0.06437,0.07512,0.088687,0.119378,0.17333,0.246548,0.330175,0.409314,0.503777,0.574182,0.634953,0.684818,0.730437,0.763881,0.781558,0.795918,0.813967,0.814405,0.815315,0.818727,0.824764,0.827934,0.973726
%Apop:HPAF:CH+SH,0.036217,0.03256,0.034317,0.050429,0.07089,0.097385,0.14232,0.207111,0.255911,0.32154,0.371768,0.40917,0.449265,0.48317,0.534276,0.572939,0.60868,0.63143,0.668096,0.691786,0.717756,0.742213,0.773822,0.799712,0.821416,0.830011,0.970827
%Apop:HPAF:CH+MLN,0.023625,0.021547,0.025086,0.035308,0.055194,0.075202,0.119582,0.181463,0.257188,0.337806,0.421596,0.487726,0.575414,0.644588,0.70211,0.744603,0.779094,0.8106,0.813322,0.818107,0.8277,0.836582,0.835348,0.83717,0.848229,0.852917,0.968819
%Apop:HPAF:CH+Lap,0.029211,0.026833,0.034075,0.050735,0.0804,0.12274,0.1931,0.249391,0.339659,0.429543,0.515784,0.585211,0.656281,0.72,0.765,0.80995,0.830661,0.844511,0.847071,0.853307,0.858777,0.854301,0.851385,0.865095,0.867848,0.874242,0.97
%Apop:HPAF:C+MLN+SH,0.026532,0.029017,0.027287,0.033877,0.040691,0.049231,0.067409,0.096565,0.141291,0.216073,0.292913,0.371807,0.45707,0.544876,0.620359,0.681057,0.738457,0.780756,0.802273,0.823567,0.848367,0.853485,0.855285,0.853563,0.861003,0.861093,0.984879
%Apop:HPAF:CH+PX,0.02847,0.03054,0.03523,0.042487,0.051757,0.071845,0.101715,0.160016,0.238601,0.336892,0.433826,0.510408,0.582998,0.656723,0.706513,0.75699,0.788953,0.812525,0.827473,0.834971,0.851368,0.847844,0.848885,0.856551,0.862443,0.866972,0.966844
